tweet,location,friends_count,followers_count,statuses_count,tweet_date,retweet_count,likes,hashtags
All Roads now clear the roadblock removed and People allow to go home. But with the message At home kesho watu wafike home mapema to stop this madness haki.,ELDORET,5002,2444,15706,17/04/2021 21:09,0,1,[]
@dan_nyagah Intelligence without godliness is a curse. What is the use of intelligence and then you plan tribal violence against other communities,EMBU,50,31,435,13/04/2021 17:27,0,1,[]
"@DonaldBKipkorir Who said so...if you think about debt even you should owe luhyas also their debts.
Uhuru is using baba to convince RUTO after that baba will be a PRESIDENT of Kenya 2022
Mtajua hamjui",EMBU,112,182,3858,12/04/2021 09:32,0,1,[]
Yani our Kamba and Kisii fams ni vitisho tu.. can't they form a super coalition wamalize hii covid🤔,GARISSA,2390,2485,12209,14/04/2021 11:40,0,0,[]
"@HonMoses_Kuria The murathes of the other world speaking. Can Kenyans really trust this murathes with leadership? From bhang smoking business community on nairobi streets, koimburis jkuat certs and now empty threats.",GITHUNGURI,117,3,10,19/04/2021 03:47,0,3,[]
"@Kalasinga_ @_Ian_trey Mtu wetu syndrome, those who voted jubilee government are so so dumb",HOMA BAY,1319,139,551,17/04/2021 19:33,0,1,[]
"@MeDrunkThoughts @MutahiNgunyi That's it, But he keeps on misleading masses especially those swayed by such tribal rhetoric's.",ISINYA,2245,859,4879,08/04/2021 12:30,0,0,[]
"I pray that neither @WilliamsRuto  nor @RailaOdinga  becomes the president of kenya..u cannot extricate them from the 2007/2008 PEV...Ruto involved in the murder of fellow kalenjins including Yebei just tells u the kind of a person he is. 
#ICCLoading 
embarambamba
sonko",ISIOLO,1167,402,392,12/04/2021 15:39,0,3,"[{'text': 'ICCLoading', 'indices': [240, 251]}]"
"@Tai_japh Wajinga Tu, if someone thinks ruto Will be different they need to borrow brains",JUJA,2604,2149,4399,18/04/2021 12:07,1,4,[]
"@HonAlinur And you still support BBI with all that price madness. Because BBI will make bread cost 30 bob, milk 20bob and nyanya 5bob",JUJA,2259,2639,5001,12/04/2021 03:23,0,0,[]
I give up. Kenyans ni wajinga. There is no way to help this country.,KABARAK,243,708,9117,18/04/2021 08:57,0,1,[]
"@raymondmatata @jamessmat A tweet of an empty head moron, leave baba relax, i voted jubilee and i blame my head too.",KABETE,1547,2220,26407,18/04/2021 10:40,0,3,[]
@KapaiStv As long as ndungu and his community gets a share of the 2billion daily they can't say nothing wrong with jayden. Facts🤷🤷,KAJIADO,353,312,4146,10/04/2021 10:59,0,0,[]
"My kenya acts like alpha and omega of Kenya, selfish, tribal, vengeful, full of hatred for one man Raila...I can show you the middle finger and tell you to fuck off 📴..Moi ruled without your support for 24 years, and you didn't do anything about it..",KAKAMEGA,116,10,84,14/04/2021 04:26,0,0,[]
@BreakingNewsKE @CapitalFMKenya BBI will generate more revenue for them. Let them be patient!,KAPSABET,440,594,8961,15/04/2021 04:48,0,0,[]
"@RENCHMA @matesobilachuki @citizentvkenya Hahaha spare my ribs,eti Raila was investigating Eurobond?when did Raila become DCI officer to investigate criminal activities in jubilee?Raila exposed jubilee scandals n corruption among them Eurobond,NYS 1 n 2 among others.",NAIROBI,2415,837,2641,15/04/2021 22:39,0,1,[]
@AnneWaiguru Wewe ishi vizuri. Wachana na wenye wanakuita mwizi. Si waende waibe. As long as you know .... no one walks out of this world without paying a single coin. Its written,KERICHO,358,55,142,17/04/2021 08:16,0,0,[]
"Ben Githae alikua biz 2013. He made a kill then. He used the opportunity well hata may be hakuvote. 
Nyinyi ndio wajinga.",KERICHO,7853,7724,16278,18/04/2021 11:49,1,4,[]
"@NationAfrica WHO NEW, KALENJINS AND KIKUYUS WILL EVER WORK TOGETHER..
TRIBAL COCOONS AND SYCOPHANTS",KIAMBU,52,5,221,13/04/2021 17:19,0,0,[]
@HonMoses_Kuria You mean even their Birth Certificates are from River Road?,KAKAMEGA,805,203,1454,16/04/2021 22:34,1,6,[]
@Arendes @RoseNyambura_ @HonMoses_Kuria @StateHouseKenya @RailaOdinga @WilliamsRuto @OleItumbi Were you tested for polio before being vaccinated as a kid?,KIAMBU,1923,720,7532,19/04/2021 11:24,0,1,[]
"Ask your parents what they think about these road blocks and BBi, you'll be shocked!!!",KERICHO,515,140,1844,18/04/2021 16:45,0,0,[]
"@ntvkenya So you were also watching, maaajab",NAIROBI,962,388,2743,15/04/2021 22:05,0,6,[]
"@droid254 slandering kales ndio form hii TL...Pale campus nliona all tribes wakifuatana speaking loudly in their mother tougue but sionangi wakiwa called out like Kales....From, Merus, Kambas, Luhyas,kikuyus name them Luos kwanza you would think Luo is teh official language pale campus",NAIROBI,217,249,10839,09/04/2021 05:39,0,1,[]
@ImbayiK A Jubilee supporter acquaintance (who voted three times) admitted that “we did not know we are the ones who would be finished” when I asked him about it. Nilikimya tu.,KAPSABET,1162,4977,142698,18/04/2021 08:48,0,0,[]
@HonMoses_Kuria You mean even their Birth Certificates are from River Road?,KAKAMEGA,805,203,1454,16/04/2021 22:34,1,6,[]
@billya2 @HonMoses_Kuria it is the likes of mweshimiwa who has brought us this shame,KAJIADO,2059,699,6958,19/04/2021 06:12,0,2,[]
"@maelwak @artofrizon @nahashon87 Bbi made it worse.  ....
Never had any love...
41 against 1",KABETE,158,54,4420,10/04/2021 10:39,0,0,[]
@ledamalekina @KenyaGovernors 35% of revenue to counties as contained in the BBI bill 2020 itatoka wapi?,ISIOLO,2616,2282,8008,15/04/2021 10:54,0,2,[]
@ledamalekina @KenyaGovernors BBI will make this worse,ISINYA,395,761,17757,15/04/2021 16:41,0,0,[]
#BREAKING Dozens of officers have been injured in recent days as youth militia burned cars and hurled petrol bombs at police with many fearing a return to tribal and sectarian bloodshed of the sort that plagued the troubled province for 3 decades from the 1960s to the 1990s.,GARISSA,2894,178920,136690,07/04/2021 22:37,4,24,"[{'text': 'BREAKING', 'indices': [0, 9]}]"
"@ItsMutai @Gicherengo When a hyena wants to eat its children, it accuses them of smelling like goats. You only want this law to be passed so that you may be insulated from going to jail. No wonder you support BBI",EMBU,1383,1428,28277,19/04/2021 16:08,0,0,[]
